G1	G2	G3	G4	G5	G6	G9
8.6890166	1.6783398	8.8470393	2.3733830	3.4311630	0.6352369	1.5390042
8.9699666	1.8694838	8.6285648	1.9795103	3.0386943	0.4981152	1.5849524
8.8247228	1.8854613	7.9172990	2.0653651	3.4599879	0.6163462	1.3131826
8.9413058	1.6091020	8.6386462	2.0806447	3.2679211	0.5159370	1.7361010
9.1025418	1.8218327	8.7428150	2.1179831	3.2971238	0.5430435	1.4951144
8.1782651	1.7878993	8.7468200	1.9424739	3.1639344	0.4783595	1.4954849
9.2004110	1.8049860	8.3090485	2.0635756	3.1276604	0.4236437	1.5111886
8.8766115	1.6557546	7.7999179	2.1906507	3.1176421	0.6019353	1.6173684
9.4629194	1.7971918	8.3919047	2.2427932	3.5291702	0.7086716	1.4503075
9.5619633	1.7301631	8.1980086	2.1627927	3.4610496	0.5297340	1.5947764
